Q0085,YGL260W
Q0120,Q0130
Q0120,YOR214C
YAL001C,YFR019W
YAL001C,YJR110W
YAL001C,YLR082C
YAL001C,YOR352W
YAL002W,YAR019C
YAL002W,YDR438W
YAL002W,YDR490C
YAL002W,YER033C
YAL002W,YFR019W
YAL002W,YHL032C
YAL002W,YJL132W
YAL002W,YJR004C
YAL002W,YJR107W
YAL002W,YKL129C
YAL002W,YKL168C
YAL002W,YKR101W
YAL002W,YKR104W
YAL002W,YLR001C
YAL002W,YLR035C
YAL002W,YLR394W
YAL002W,YLR422W
YAL002W,YMR176W
YAL002W,YOL063C
YAL002W,YOR227W
YAL002W,YOR290C
YAL002W,YOR380W
YAL002W,YPR117
YAL003W,YBR025C
YAL003W,YBR121C
YAL003W,YBR189W
YAL003W,YBR191W
YAL003W,YCR031C
YAL003W,YDL055C
YAL003W,YDL075W
YAL003W,YDL081C
YAL003W,YDL082W
YAL003W,YDL130W
YAL003W,YDL229W
YAL003W,YDR064W
YAL003W,YDR382W
YAL003W,YDR454C
YAL003W,YDR500C
YAL003W,YER025W
YAL003W,YER043C
YAL003W,YER165W
YAL003W,YGL076C
YAL003W,YGL103W
YAL003W,YGL123W
YAL003W,YGR027C
YAL003W,YGR148C
YAL003W,YGR214W
YAL003W,YHL001W
YAL003W,YHL015W
YAL003W,YHL033C
YAL003W,YHR010W
YAL003W,YHR021C
YAL003W,YHR064C
YAL003W,YHR089C
YAL003W,YHR128W
YAL003W,YHR193C
YAL003W,YIL133C
YAL003W,YJL130C
YAL003W,YJL136C
YAL003W,YJL158C
YAL003W,YJL177W
YAL003W,YJL190C
YAL003W,YJL191W
YAL003W,YJR070C
YAL003W,YJR105W
YAL003W,YJR123W
YAL003W,YKL006W
YAL003W,YKL056C
YAL003W,YKL060C
YAL003W,YKL081W
YAL003W,YKL096W,A
YAL003W,YKL152C
YAL003W,YKL156W
YAL003W,YKL180W
YAL003W,YKR057W
YAL003W,YLL045C
YAL003W,YLR029C
YAL003W,YLR048W
YAL003W,YLR060W
YAL003W,YLR061W
YAL003W,YLR075W
YAL003W,YLR150W
YAL003W,YLR167W
YAL003W,YLR185W
YAL003W,YLR249W
YAL003W,YLR264W
YAL003W,YLR293C
YAL003W,YLR325C
YAL003W,YLR340W
YAL003W,YLR344W
YAL003W,YLR372W
YAL003W,YLR388W
YAL003W,YLR448W
YAL003W,YML024W
YAL003W,YML063W
YAL003W,YML073C
YAL003W,YML106W
YAL003W,YMR116C
YAL003W,YMR142C
YAL003W,YMR202W
YAL003W,YNL069C
YAL003W,YNL096C
YAL003W,YNL178W
YAL003W,YNL209W
YAL003W,YNL302C
YAL003W,YOL039W
YAL003W,YOL040C
YAL003W,YOL127W
YAL003W,YOR096W
YAL003W,YOR167C
YAL003W,YOR234C
YAL003W,YOR369C
YAL003W,YPL037C
YAL003W,YPL079W
YAL003W,YPL131W
YAL003W,YPL143W
YAL003W,YPL249C,A
YAL005C,YBR067C
YAL005C,YBR072W
YAL005C,YBR169C
YAL005C,YCL040W
YAL005C,YCL043C
YAL005C,YCR012W
YAL005C,YCR088W
YAL005C,YDL126C
YAL005C,YDL130W
YAL005C,YDR032C
YAL005C,YDR050C
YAL005C,YDR155C
YAL005C,YDR214W
YAL005C,YDR258C
YAL005C,YDR382W
YAL005C,YEL034W
YAL005C,YER103W
YAL005C,YFL014W
YAL005C,YFL016C
YAL005C,YFL039C
YAL005C,YGL123W
YAL005C,YGL189C
YAL005C,YGR192C
YAL005C,YGR209C
YAL005C,YGR254W
YAL005C,YHR174W
YAL005C,YJL034W
YAL005C,YJL052W
YAL005C,YJR009C
YAL005C,YJR045C
YAL005C,YJR104C
YAL005C,YKL060C
YAL005C,YKL152C
YAL005C,YKL210W
YAL005C,YKR057W
YAL005C,YLL024C
YAL005C,YLL026W
YAL005C,YLL039C
YAL005C,YLR044C
YAL005C,YLR075W
YAL005C,YLR109W
YAL005C,YLR110C
YAL005C,YLR185W
YAL005C,YLR216C
