YHR049W,YER025W
YJR094W-A,YLR441C
YJL158C,YER001W
YGR187C,YLL011W
YLR117C,YBR065C
YDL065C,YPL112C
YDL179W,YPR161C
YBR010W,YGR116W
YFR034C,YDR481C
YKL041W,YPR173C
YML073C,YIL075C
YOR254C,YBR183W
YOR232W,YHL034C
YGR157W,YGR147C
YGL190C,Q0045
YDR227W,YPR140W
YGL173C,YNL147W
YOR204W,YKR081C
YFL031W,YNL330C
YNL271C,YER148W
YLR355C,YNL316C
YOR339C,YDR092W
YCR086W,YDL089W
YGR157W,YGR148C
YBR110W,YOR002W
YGL099W,YOR096W
YGR192C,YPR080W
YDL136W,YDR382W
YKR069W,YPR167C
YJR050W,YKL173W
YKR076W,YGR147C
YDR538W,YDR536W
YJR002W,YLR222C
YJR094C,YGL250W
YPR166C,YKL167C
YGL173C,YNL145W
YOR109W,YJL124C
YGR200C,YPL043W
YGL099W,YPR161C
YDR256C,YLL039C
YIR004W,YHL034C
YHR197W,YDR312W
YGL075C,YNL107W
YJR086W,YDL159W
YLR216C,YJR070C
YFR004W,YDR363W-A
YOR284W,YOR321W
YNL182C,YDL167C
YPL084W,YDR495C
YAL020C,YAR014C
YER043C,YLR180W
YDR174W,YKL180W
YKR076W,YGR148C
YPR166C,YKL166C
YOL151W,YOR209C
YGR220C,YGR222W
YNR071C,YPL150W
YDR258C,YDL007W
YDL087C,YHR086W
YKL056C,YKR094C
YKR094C,YOR293W
YDL055C,YPR080W
YOL051W,YOR290C
YOR316C,YJL056C
YBR008C,YCR102C
YNR003C,YFR037C
YLR353W,YCR093W
YAR015W,YER023W
YNL192W,YHR187W
YOL041C,YPL212C
YNL051W,YLL021W
YDR158W,YMR105C
YHR148W,YJL010C
YNL175C,YGL111W
YKR034W,YOL116W
YLL036C,YMR125W
YKL116C,YJL164C
YGR220C,YGR229C
YHR057C,YKL117W
YNL098C,YMR274C
YPL037C,YPR102C
YML008C,YNL287W
YAL038W,YKL104C
YBL041W,YDR394W
YDL154W,YIL144W
YKR076W,YHR104W
YOR317W,YOR259C
YGR157W,YGR144W
YPL093W,YNL175C
YDR130C,YMR311C
YLL049W,YLR130C
YHR193C,YML062C
YHR027C,YMR191W
YHR028C,YDR284C
YDR099W,YNR034W
YNL308C,YGL171W
YKR048C,YOR230W
YBR137W,YMR262W
YHR211W,YER109C
YOL126C,YMR086W
YOR091W,YLR249W
YNL110C,YPL146C
YKR034W,YIR023W
YGR088W,YFR015C
YDR347W,YKL155C
YCR019W,YOL006C
YBR084W,YDL058W
YHR057C,YBR111C
YER011W,YGL232W
YKR081C,YGR027C
YIL044C,YAR042W
YIL035C,YIL118W
YGL065C,YDL055C
YFL039C,YMR260C
YPR181C,YPL094C
YNR053C,YLR325C
YOR136W,YDR354W
YGL187C,YNL052W
YLR109W,YOL151W
YMR290C,YDR087C
YDL140C,YHL015W
YJR123W,YLR180W
YKL198C,YKL171W
YHR092C,YDR050C
YBL092W,YDR025W
YJL196C,YKL154W
YMR001C,YDR435C
YDR358W,YKR058W
YGR113W,YDL028C
YOL140W,YOR117W
YNR049C,YDR164C
YGL029W,YDR412W
YBL007C,YNR065C
YBL004W,YKR060W
YJL190C,YGR208W
YPL086C,YHR088W
YGR124W,YLR194C
YGL030W,YBR048W
YNR072W,YMR243C
YLL018C,YHL033C
YMR169C,YBL078C
YER125W,YBR069C
YML128C,YDL046W
YMR158W,YCR031C
YPL087W,YGR250C
YJL092W,YDR419W
YLL034C,YBR031W
YLR288C,YDR217C
YBL003C,YOL130W
YKR034W,YJL110C
YLR039C,YLL034C
YLR393W,YAL021C
YPR144C,YLR435W
YDL215C,YAL062W
YIL079C,YOL115W
YJR060W,YDR527W
YPR043W,YML063W
YMR224C,YJL176C
YBR247C,YMR093W
YNL331C,YLR303W
YAL025C,YLR336C
YFR024C-A,YNL312W
YKR071C,YJR043C
YPL217C,YLR409C
YNL204C,YHL034C
YGR124W,YLR196W
YNL055C,YNL070W
YDR083W,YFL002C
YBL013W,YNL022C
YPL093W,YOR004W
YBR109C,YDR208W
YLR048W,YNL209W
YNL077W,YEL030W
YJL081C,YBL003C
YER021W,YDR177W
YBR048W,YMR143W
YLR117C,YJR050W
YBR048W,YDR324C
YBR157C,YBR140C
YLR117C,YBR060C
YNR043W,YML106W
YPL146C,YMR185W
YER165W,YBR118W
YNL005C,YER006W
YDL191W,YBL072C
YCL037C,YKR092C
YNL132W,YJR003C
YOL038W,YIL075C
YBR122C,YDR115W
YLR039C,YKR001C
YKR057W,YOR096W
YAL025C,YLL011W
YDR283C,YDR477W
YPR029C,YHL019C
YHL030W,YNL064C
YLR129W,YGL171W
YLR335W,YJR042W
YLR333C,YPL090C
YDL055C,YPR086W
YFR032C-A,YGR118W
YER067W,YHR087W
YNL132W,YJR002W
YGL226C-A,YHR045W
YDR380W,YCR061W
YJR060W,YMR094W
YCL059C,YAL036C
YNL062C,YKR060W
YER179W,YOL090W
YOR095C,YDL153C
YDR183W,YLR200W
YDR471W,YPL249C-A
YDR176W,YMR034C
YCR031C,YNL178W
YDR538W,YDR539W
YKL092C,YHR032W
YNR049C,YDR166C
YER002W,YDL201W
YLR075W,YDL136W
YDL047W,YIL135C
YKL006W,YER117W
YBR055C,YDL098C
YOR193W,YBR056W
YBR258C,YBR254C
YBR155W,YCR069W
YOR310C,YLL011W
YAL048C,YNL083W
YDL066W,YAL023C
YDR384C,YGR285C
YIL051C,YKL142W
YMR142C,YGR148C
YDR168W,YKL139W
YPR102C,YJL190C
YFL039C,YOL130W
YMR001C,YLR117C
YGL173C,YHR014W
YGR084C,YKL003C
YNL252C,YMR193W
YBR201W,YDR540C
YGL123W,YNL244C
YNL230C,YPL046C
YKL068W,YGR119C
YER154W,YDR115W
YKL145W,YKR059W
YNL051W,YLR373C
YPR102C,YJL191W
YMR170C,YMR037C
YOR373W,YGR236C
YGR200C,YJL140W
YDL019C,YGL137W
YIL109C,YLR378C
YJL102W,YDL191W
YBL038W,YDR462W
YMR309C,YDR450W
YDR359C,YML007W
YBR159W,YNL181W
YGL029W,YIL096C
YFR028C,YER133W
YHR015W,YER165W
YMR116C,YJR123W
YNL148C,YNL059C
YPL016W,YAR066W
YJL164C,YIR016W
YNL124W,YML024W
YOR210W,YMR143W
YMR080C,YJL191W
YJR059W,YPL230W
YML012W,YDL195W
YPL217C,YJR123W
YBR258C,YBR255W
YBR023C,YBR015C
YML035C,YJL071W
YNL110C,YDL082W
YHR023W,YGR059W
YGL127C,YDR485C
YEL061C,YOR014W
YLR117C,YDL030W
YBL038W,YLR439W
YMR235C,YER011W
YDL083C,YPR086W
YOL130W,YML124C
YOR185C,YOR360C
YPL211W,YNL299W
YJR063W,YBR154C
YOR290C,YGL115W
YBL034C,YPL032C
YOL010W,YKL125W
YPL081W,YMR146C
YML075C,YHR133C
YLR075W,YKL145W
YMR061W,YDR012W
YML056C,YER102W
YMR081C,YKL217W
YNL280C,YGL167C
YHR104W,YKL035W
YPL212C,YMR239C
YAR073W,YDL014W
YHR021W-A,YEL059C-A
YMR116C,YCL011C
YJR145C,YOR246C
YGL038C,YMR218C
YOL040C,YLR441C
YBR264C,YNL304W
YMR154C,YMR236W
YGR145W,YGR245C
YMR025W,YNR052C
YPL106C,YML028W
YKR039W,YJR059W
YKL052C,YKL180W
YDR184C,YNL075W
YML024W,YML026C
YEL063C,YIL114C
YCR031C,YDR394W
YFR024C-A,YDR388W
YPR119W,YOL100W
YJR009C,YDR050C
YBR114W,YDR030C
YMR297W,YOR285W
YMR072W,YHL034C
YGR251W,YOR154W
YIL133C,YLR249W
YOR065W,YER154W
YPR043W,YML073C
YJR101W,YGR215W
YDR265W,YJL210W
YIL133C,YIL069C
YOR128C,YDR369C
YLL021W,YHR084W
YLL026W,YAL005C
YKL059C,YDR012W
YML024W,YML025C
YLR175W,YDL208W
YPL143W,YOR096W
YBL023C,YDL033C
YKL104C,YGR240C
YBR034C,YNR053C
YGR200C,YJL148W
YER086W,YIL139C
YIL140W,YPL256C
YOR312C,YOR369C
YEL039C,YPR191W
YBR072W,YNL155W
YOR078W,YPL212C
YDL153C,YNL313C
YML046W,YGR013W
YLR438C-A,YOR096W
YBR154C,YPR132W
YPR025C,YDR311W
YER026C,YOR069W
YAL035W,YCL011C
YPL059W,YDL020C
YKR099W,YPR035W
YLR002C,YOL124C
YHL033C,YBL072C
YML074C,YJR113C
YHR195W,YJL185C
YPL249C-A,YCR031C
YLR429W,YLR380W
YER094C,YGL048C
YOR133W,YLR180W
YDR064W,YLR287C-A
YJL158C,YBR078W
YDL014W,YDR243C
YDL137W,YDL226C
YOL055C,YPL214C
YKR067W,YML075C
YJR032W,YDR138W
YMR251W-A,YNL160W
YGR157W,YGR152C
YKR076W,YKL117W
YLR386W,YJL016W
YJR022W,YKR104W
YLR083C,YAL053W
YKR071C,YDR478W
YGR253C,YER150W
YOR078W,YOR006C
YOL081W,YLR388W
YPL043W,YPR016C
YDR299W,YNL124W
YFL039C,YOL133W
YDR448W,YLR098C
YIL009C-A,YJL030W
YAL038W,YKL110C
YML035C,YJL070C
YKR076W,YGR144W
YDL024C,YDR167W
YBR056W,YNL274C
YBR160W,YIL122W
YPL131W,YLR378C
YDL150W,YJL122W
YOR071C,YGR281W
YKL157W,YKL062W
YJL161W,YMR002W
YNL061W,YJL198W
YNL037C,YOR136W
YML070W,YDR453C
YNL329C,YNL121C
YIR010W,YJR010C-A
YKL180W,YBL088C
YDR087C,YKL099C
YDL164C,YNL312W
YKL180W,YBL087C
YDR342C,YKL148C
YMR242C,YLR325C
YLR340W,YBR025C
