IN;BD;4;5;3;5;0.77777785;0.5;0.5714286;0.5;0.5;3
BD2;IN2;5;4;5;3;0.7833333;0.3333333;0.61538464;0.5;0.5;5
COE;COE;1181;1181;1442;1442;1.0;0;0;0.00206949;0.00206949;1181
BD2;IN3;5;4;5;3;0.7833333;0.3333333;0.61538464;0.5;0.5;5
purina pathway;BioGrid;168;2554;4828;22651;0;0;0.0;0.3441688;0.006947774;0
purina pathway;GeneMania;168;5514;4828;125849;0;0;0.0;0.3441688;0.008279898;0
purina pathway;purina pathway;168;168;4828;4828;1.0;0.0;1.0;0.3441688;0.3441688;168
Costanzo2010Salida;BioGrid;0;2554;0;22651;0;0;0;0;0.006947774;0
Costanzo;BioGrid;4271;2554;74840;22651;0.0995664;0.62353003;0.2814119;0.008207413;0.006947774;1356
Costanzo2010Salida;purina pathway;0;168;0;4828;0;0;0;0;0.3441688;0
